Ref;Quantité;LIVRFINLU;TIERSLU;Libelle client;Statut;Tiers livré;REFEXTERNELU;Date debut Validité
W000037335;1820;09/26/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1540;10/03/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1680;10/10/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;2100;10/17/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;2100;10/24/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1540;10/31/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;2100;11/07/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1960;11/14/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1960;11/21/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1960;11/28/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1960;12/05/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;2100;12/12/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1960;12/19/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;2100;12/26/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1960;01/02/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;2100;01/09/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;2100;01/16/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1960;01/23/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1540;01/30/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1820;02/06/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;2100;02/13/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1960;02/20/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1680;02/27/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1960;03/06/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1960;03/13/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1960;03/20/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
